I'm 19.	Tengo diecinueve.
She's six years older than I am.	Ella es seis años mayor que yo.
She's sometimes late for school.	De vez en cuando ella llega tarde a la escuela.
She's three years older than me.	Ella tiene tres años más que yo.
She's two years older than I am.	Ella tiene dos años más que yo.
She's wearing a light blue suit.	Ella lleva un traje azul claro.
She's worried about your safety.	Ella está preocupada por tu seguridad.
She's worried about your safety.	Está preocupada por su seguridad.
They are jealous of our success.	Ellos tienen celos de nuestro éxito.
They are leaving Japan tomorrow.	Ellos dejarán Japón mañana.
They are more emotional than we.	Ellos son más emocionales que nosotros.
They are my grandfather's books.	Son los libros de mi abuelo.
They are talking in the kitchen.	Están hablando en la cocina.
They are willing to help us out.	Ellos están dispuestos a ayudarnos.
They're unlikely to get married.	Es poco probable que se casen.
We are all suspicious about him.	Todos sospechamos de él.
We are pretty much in agreement.	Estamos bastante de acuerdo.
We're all citizens of the world.	Todos somos ciudadanos del mundo.
We're anticipating more charges.	Estamos anticipando más cargos.
We're in the middle of a crisis.	Estamos en medio de una crisis.
We're studying physical science.	Estamos estudiando ciencia física.
We're working as fast as we can.	Nosotros estamos trabajando tan rápido como podemos.
We're worried about your health.	Nos preocupamos por su salud.
You are in very serious trouble.	Te has metido en camisa de once varas.
You are in very serious trouble.	Estás en graves apuros.
You are in very serious trouble.	Estás en graves problemas.
You are old enough to know this.	Eres lo suficientemente mayor para saberlo.
You are sure to succeed in time.	Tarde o temprano, seguramente tendrás éxito.
You are too young to be in love.	Sos muy joven para enamorarte.
You are too young to be in love.	Eres demasiado joven para enamorarte.
You are too young to be in love.	Eres demasiado joven para estar enamorado.
You are twice as strong as I am.	Eres el doble de fuerte que yo.
You are twice as strong as I am.	Tienes el doble de fuerza que yo.
You're Tom's friend, aren't you?	Vos sos el amigo de Tom, ¿verdad?
You're Tom's friend, aren't you?	Eres el amigo de Tom ¿verdad?
You're always welcome here, Tom.	Aquí siempre serás bien recibido, Tom.
You're awful at keeping secrets.	Eres pésimo para guardar secretos.
You're contradicting yourselves.	Os estáis contradiciendo.
You're old enough to understand.	Eres suficientemente viejo para entender.
You're still single, aren't you?	Todavía estás soltero ¿verdad?
You're still single, aren't you?	Todavía estás soltera ¿verdad?
You're sweating like a pig, Tom.	Estás sudando como un cerdo, Tom.
You're the best man for the job.	Eres el más indicado para este trabajo.
You're the champion, aren't you?	Sos el campeón, ¿no?
You're the only Canadian I know.	Eres el único canadiense que conozco.
You're too young to get married.	Sos demasiado joven para casarte.
You're too young to get married.	Eres demasiado joven para casarte.
He is a student at a high school.	Él es un estudiante de secundaria.
He is a waiter and also an actor.	Es camarero y también actor.
He is a wolf in sheep's clothing.	Él es un lobo con piel de cordero.
He is always losing his umbrella.	Él siempre está perdiendo su paraguas.
He is always making a fool of me.	Él siempre se está burlando de mí.
He is anxious to know the result.	Está ansioso por conocer el resultado.
He is beginning to lose his hair.	Él está comenzando a perder cabello.
He is capable of teaching French.	Es capaz de enseñar francés.
He is fond of this kind of music.	A él le encanta este tipo de música.
He is going to buy a new bicycle.	Él va a comprar una bicicleta nueva.
He is going to tell me his story.	Va a contarme su historia.
He is in good physical condition.	Él está en buena condición física.
He is in the hospital at present.	En este momento, él está en el hospital.
He is incapable of telling a lie.	Él es incapaz de decir una mentira.
He is independent of his parents.	No depende de sus padres.
He is living apart from his wife.	Vive separado de su mujer.
He is not a doctor but a teacher.	Él no es médico, es profesor.
He is not a singer, but an actor.	No es cantante, sino actor.
He is not a teacher but a doctor.	Él no es maestro, sino médico.
He is not as tall as his brother.	No es tan alto como su hermano.
He is nothing but a minor artist.	Él no es más que un artista de segunda categoría.
He is nothing more than a coward.	Él no es más que un cobarde.
He is nothing more than a coward.	Él no es nada más que un cobarde.
He is now on the way to recovery.	Él se está recuperando ahora.
He is old enough to travel alone.	Él es lo suficientemente mayor para viajar solo.
He is pleased with his new shoes.	Le gustan sus zapatos nuevos.
He is reading a book in his room.	Él lee un libro en su habitación.
He is reading a book in his room.	Está leyendo un libro en su habitación.
He is the chief of my department.	Es el jefe de mi departamento.
He is the last man I want to see.	Es la última persona que quiero ver.
He is the last man I want to see.	Él es el último hombre que quiero ver.
He is the right man for the post.	Él es el hombre adecuado para el puesto.
He is the taller of the two boys.	Él es el mayor de dos chicos.
He is thinking about the problem.	Está pensando en el problema.
He is twice as heavy as his wife.	Él pesa el doble que su mujer.
He is used to speaking in public.	Él está acostumbrado a hablar en público.
He is very stingy with his money.	Él es muy tacaño.
He's English, but lives in India.	Él es inglés, pero vive en la India.
He's a doctor of good reputation.	Es un médico acreditado.
He's a very capable business man.	Es un hombre de gran capacidad para los negocios.
He's always been living in Tokyo.	Él siempre ha vivido en Tokio.
He's getting soft in his old age.	Se está volviendo blando ahora que es mayor.
He's not at all afraid of snakes.	A él no le dan ningún miedo las serpientes.
He's sitting in the waiting room.	Está sentado en la sala de espera.
He's three years older than I am.	Él es tres años mayor que yo.
He's three years older than I am.	Él tiene tres años más que yo.
I am almost 180 centimeters tall.	Mido casi 180 centímetros.
I am as sad and lonely as can be.	Estoy tan triste y solo como se puede estar.
I am ashamed of my son's conduct.	Estoy avergonzado de la conducta de mi hijo.
I am ashamed of my son's conduct.	Estoy avergonzada del comportamiento de mi hijo.
I am convinced of your innocence.	Estoy convencido de tu inocencia.
I am expecting a letter from her.	Estoy esperando una carta suya.
I am four years younger than him.	Soy cuatro años menor que él.
I am full, and I can eat no more.	Estoy lleno y no puedo comer más.
I am hoarse from yelling so much.	Estoy ronco por gritar tanto.
I am leaving town for a few days.	Me voy de la ciudad por un par de días.
I am looking for a house to rent.	Estoy buscando una casa para alquilar.
I am losing my patience with you.	Estoy perdiendo la paciencia contigo.
I am married and I have two sons.	Estoy casada y tengo dos hijos.
I am not a doctor, but a teacher.	No soy médico, soy profesor.
I am not the person I used to be.	No soy la persona que solía ser.
I am not very musically inclined.	No tengo inclinaciones musicales.
I am planting beans in my garden.	Estoy plantando judías en mi jardín.
I am planting beans in my garden.	Estoy plantando alubias en mi jardín.
I am responsible for the mistake.	Yo soy responsable del error.
I am so tired that I can't study.	Estoy tan cansado que no puedo estudiar.
I am so tired that I can't study.	Estoy tan cansada que no puedo estudiar.
I am studying English in my room.	Estoy estudiando inglés en mi habitación.
I am the tallest of all the boys.	Soy el más alto de todos los chicos.
I am tired of my monotonous life.	Estoy cansado de esta monótona vida.
I am very glad to meet you today.	Estoy muy feliz de encontrarte hoy.
I am very grateful for your help.	Estoy muy agradecido por tu ayuda.
I am very grateful for your help.	Estoy muy agradecido por su ayuda.
I am very grateful for your help.	Estoy muy agradecido por vuestra ayuda.
I'm a junior high school student.	Soy estudiante de secundaria.
I'm about as qualified as Tom is.	Estoy casi tan calificado como Tom.
I'm about to tell you the answer.	Estoy a punto de decirte la solución.
I'm afraid I won't have the time.	Me temo que no tendré tiempo.
I'm afraid there isn't much time.	Tengo miedo de que no haya mucho tiempo.
I'm allergic to synthetic rubber.	Soy alérgico a la goma sintética.
I'm always busy with my homework.	Siempre estoy ocupado con mis tareas.
I'm cold. May I close the window?	Tengo frío. ¿Puedo cerrar la ventana?
I'm excited to see what Tom does.	Estoy inquieto por ver lo que hace Tom.
I'm excited to see what Tom does.	Estoy entusiasmado por ver qué hace Tom.
I'm fed up with this wet weather.	Estoy harto de este mal tiempo.
I'm fed up with this wet weather.	Estoy harta de este clima húmedo.
I'm getting used to eating alone.	Me estoy acostumbrando a comer solo.
I'm getting used to this weather.	Me estoy acostumbrando a este clima.
I'm getting used to this weather.	Me estoy haciendo a este tiempo.
I'm getting used to this weather.	Me estoy habituando a este tiempo.
I'm glad that he passed the exam.	Me alegro de que haya pasado el examen.
I'm glad to be invited to dinner.	Me alegro de que me hayan invitado a cenar.
I'm glad to hear of your success.	Me alegra oír que ganaste.
I'm glad to hear of your success.	Me alegra oír que ganaron.
I'm going to Australia next year.	Voy a ir a Australia el año que viene.
I'm going to have to talk to Tom.	Voy a tener una charla con Tom.
I'm going to tell you everything.	Te lo voy a contar todo.
I'm going to tell you everything.	Voy a contártelo todo.
I'm going to watch a scary movie.	Voy a ver una película de terror.
I'm happy to be able to help you.	Estoy contento de poder ayudarte.
I'm in trouble. I need your help.	Estoy en problemas. Necesito tu ayuda.
I'm looking for a place to sleep.	Busco un sitio para dormir.
I'm looking for a place to sleep.	Estoy buscando un sitio donde dormir.
I'm looking forward to good news.	Espero con ganas las nuevas noticias.
I'm looking forward to the party.	Espero con ganas la fiesta.
I'm looking forward to the party.	Estoy esperando la fiesta con ilusión.
I'm looking forward to the party.	Estoy deseando que llegue la fiesta.
I'm not able to fix the computer.	No puedo arreglar el ordenador.
I'm not able to fix the computer.	No puedo reparar el ordenador.
I'm not able to fix the computer.	No soy capaz de arreglar el ordenador.
I'm not allowed to drink alcohol.	No tengo permitido beber alcohol.
I'm not as young as I used to be.	Ya no soy tan joven como antes.
I'm not going to have to do that.	No voy a tener que hacer eso.
I'm not going to let you do that.	No voy a dejar que hagas eso.
I'm not going to make fun of Tom.	No me voy a burlar de Tom.
I'm not going to make it on time.	No voy a alcanzar a hacerlo.
I'm not going to need to do that.	No voy a necesitar hacer eso.
I'm not going to talk about that.	No voy a hablar de eso.
I'm not hiding anything from you.	Yo no te estoy ocultando nada.
I'm not interested in modern art.	No me interesa el arte moderno.
I'm not listening to you anymore.	Ya no te escucho más.
I'm not opening the door for Tom.	No le abriré la puerta a Tom.
I'm not saying it's not possible.	No estoy diciendo que no sea posible.
I'm not strong enough to do this.	No soy lo suficientemente fuerte para hacer esto.
I'm not sure that I can help you.	No estoy segura de que pueda ayudarte.
I'm not sure this is a good idea.	No estoy segura de que esto sea una buena idea.
I'm not sure what size she wears.	No estoy seguro de qué talla usa.
I'm not trying to impress anyone.	No estoy intentando impresionar a nadie.
I'm not trying to prove anything.	No estoy intentando probar nada.
I'm not used to getting up early.	No estoy acostumbrado a levantarme temprano.
I'm old enough to live by myself.	Tengo edad suficiente para vivir por mi cuenta.
I'm only interested in the truth.	Solo estoy interesado en la verdad.
I'm only trying to save you time.	Solo trato de ahorrarte tiempo.
I'm pretty sure Tom lied to Mary.	Estoy bastante seguro de que Tom le mintió a Mary.
I'm responsible for Tom's safety.	Soy responsable de la seguridad de Tom.
I'm severely allergic to peanuts.	Soy extremadamente alérgico a los cacahuetes.
I'm severely allergic to peanuts.	Soy extremadamente alérgico a los cacahuates.
I'm severely allergic to peanuts.	Soy extremadamente alérgica a los cacahuetes.
I'm severely allergic to peanuts.	Soy extremadamente alérgica a los cacahuates.
I'm sick and tired of hamburgers.	Estoy harto de hamburguesas.
I'm sick and tired of hamburgers.	Estoy harta de hamburguesas.
I'm sick and tired of hamburgers.	Estoy hasta las narices de hamburguesas.
I'm sick and tired of this place.	Estoy hartísimo de este lugar.
I'm sorry it worked out this way.	Lamento que funcionara de esa manera.
I'm sorry that you can't join us.	Lamento que usted no pueda acompañarnos.
I'm sorry, I just wanted to help.	Lo siento, solo quería ayudar.
I'm sorry, I just wanted to help.	Lo siento, sólo quería echar una mano.
I'm sorry, my dad is not at home.	Lo siento, mi papá no está en casa.
I'm sorry, my father is not home.	Lo siento, mi papá no está en casa.
I'm supposed to go over to Tom's.	¿Se supone que tengo que ir a casa de Tom?
I'm sure I have the right number.	Estoy seguro de que tengo el número correcto.
I'm sure I have the right number.	Estoy segura de tener el número correcto.
I'm sure I saw her two years ago.	Estoy seguro de que la vi hace dos años.
I'm sure I'll be able to find it.	Estoy seguro de que podré encontrarlo.
I'm sure I'll be able to find it.	Estoy segura de que podré encontrarlo.
I'm sure Tom will be able to win.	Estoy seguro de que Tom podrá ganar.
I'm sure everything will be fine.	Estoy segura de que todo irá bien.
I'm the one who brought Tom here.	Yo soy quien trajo a Tom aquí.
I'm the owner of this restaurant.	Soy el dueño de este restaurante.
I'm the tallest one in the class.	Soy el más alto de la clase.
I'm the tallest one in the class.	Soy la más alta de la clase.
I'm tired of watching television.	Estoy cansado de ver televisión.
I'm too busy to help you do that.	Estoy demasiado ocupado para ayudarte a hacer eso.
I'm too busy to help you do that.	Estoy demasiado liado para ayudarle a hacer eso.
I'm too sleepy to do my homework.	Tengo demasiado sueño para hacer mi tarea.
I'm too tired to walk any longer.	Yo estoy muy cansado como para seguir caminando.
I'm trying to remedy the problem.	Estoy intentando remediar el problema.
I'm very worried about my weight.	Estoy muy preocupado por mi peso.
I'm very worried about my weight.	Estoy muy preocupada por mi peso.
I'm waiting for her to come here.	Estoy esperando a que ella venga.
I'm willing to accept your offer.	Estoy dispuesto a aceptar tu oferta.
She is beautiful like her mother.	Ella es guapa, como su madre.
She is busy preparing supper now.	Ahora ella está ocupada preparando la cena.
She is familiar with the subject.	Ella está familiarizada con el tema.
She is fond of singing old songs.	A ella le gusta cantar canciones viejas.
She is going to France next week.	Ella irá a Francia la semana próxima.
She is less intelligent than you.	Ella es menos inteligente que tú.
She is less intelligent than you.	Ella no es tan inteligente como tú.
She is not a nurse, but a doctor.	Ella no es enfermera sino médico.
She is not a poet but a novelist.	Ella no es poeta sino novelista.
She is not as young as she looks.	Ella no es tan joven como parece.
She is not what you think she is.	Ella no es la clase de persona que piensas.
She is practicing the violin now.	Ahora está practicando violín.
She is saving money to go abroad.	Ella está ahorrando para irse al extranjero.
She is the one who feeds our dog.	Ella es la que alimenta a nuestro perro.
She's a successful businesswoman.	Ella es una exitosa mujer de negocios.
She's about the same age as I am.	Tiene aproximadamente la misma edad que yo.
She's completely crazy about him.	Ella está completamente loca por él.
She's five years younger than me.	Ella tiene cinco años menos que yo.
She's five years younger than me.	Ella es cinco años menor que yo.
She's two years younger than him.	Ella es dos años más joven que él.
They are accustomed to hard work.	Ellos están acostumbrados al trabajo duro.
They are both colleagues of mine.	Ellos dos son mis colegas.
They are very popular among boys.	Ellas son muy populares entre los chicos.
They're going to a charity event.	Ellos van a un evento de caridad.
We are all in the same situation.	Todos estamos en la misma situación.
We are going to meet him tonight.	Nos veremos con él esta noche.
We're getting married in October.	Nos vamos a casar en Octubre.
We're going to have a test today.	Hoy tendremos una prueba.
We're going to see him right now.	Ahorita vamos a verle.
We're going to see him right now.	Vamos a verlo ahora mismo.
We're meeting Tom in three hours.	Nos vamos a encontrar con Tomás en tres horas.
We're not disturbing you, I hope.	No te estamos molestando, espero.
We're not going to find anything.	No vamos a encontrar nada.
We're trying to keep it straight.	Estamos intentando mantenerlo recto.
You are entitled to your opinion.	Tienes derecho a dar tu opinión.
You are exaggerating the problem.	Usted está exagerando el problema.
You are just stating the obvious.	Estás simplemente afirmando lo obvio.
You are watching TV all the time.	Siempre estás viendo la televisión.
You're Tom's parents, aren't you?	Ustedes son los padres de Tom, ¿no es así?
You're a philosopher, aren't you?	Usted es filósofo, ¿verdad?
You're a philosopher, aren't you?	Eres un filósofo, ¿verdad?
You're a very handsome young man.	Eres un joven muy apuesto.
You're an overly optimistic girl.	Sos una chica demasiado optimista.
You're barking up the wrong tree.	Le estás ladrando al árbol equivocado.
You're both acting like children.	Ambos están actuando como niños.
You're going to be my son-in-law.	Vas a ser mi yerno.
You're going to be so happy here.	Vas a ser muy feliz acá.
You're going to want to see this.	Vas a querer ver esto.
You're in better shape than I am.	Estás en mejor forma que yo.
You're lucky you didn't get shot.	Tienes suerte de que no te dispararan.
You're lucky you didn't get shot.	Eres afortunado de que no te hayan disparado.
You're making a big mistake here.	Estás cometiendo un gran error aquí.
You're not answering my question.	No estás respondiendo a mi pregunta.
You're not as stupid as you look.	No eres tan estúpido como aparentas.
You're not my girlfriend anymore.	No eres más mi novia.
You're not my girlfriend anymore.	No sos más mi novia.
You're shallow and materialistic.	Tú eres superficial y materialista.
You're the best dad in the world.	Sos el mejor padre del mundo.
You're the best dad in the world.	¡Eres el mejor papá del mundo!
You're the best dad in the world.	Eres el mejor padre del mundo.
You're the laziest person I know.	Eres la persona más perezosa que conozco.
You're the laziest person I know.	Eres la persona más floja que conozco.
He is a gentleman among gentlemen.	Es un caballero entre caballeros.
He is able to speak ten languages.	Él es capaz de hablar diez lenguas.
He is able to speak ten languages.	Él sabe hablar diez lenguas.
He is among the best jazz singers.	Él está entre los mejores cantantes de jazz.
He is anything but a reliable man.	Él es todo menos un hombre confiable.
He is anything but a reliable man.	Él es cualquier cosa excepto un hombre en quien confiar.
He is better today than yesterday.	Hoy está mejor que ayer.
He is definitely not a bad person.	Él de seguro no es un mal sujeto.
He is determined to go to England.	Está decidido a ir a Inglaterra.
He is having difficulty breathing.	Él tiene dificultad para respirar.
He is known to the entire country.	Él es conocido en el país entero.
He is learning how to drive a car.	Él está aprendiendo a conducir un auto.
He is nothing more than a dreamer.	Él no es más que un soñador.
He is old enough to understand it.	Él tiene la edad suficiente para entenderlo.
He is rich enough to buy that car.	Él es lo suficientemente rico para comprar ese auto.
He is rich enough to buy two cars.	Él es lo suficientemente rico para comprar dos autos.
He is still too young for the job.	Él aún es demasiado joven para este trabajo.
He is studying in the library now.	Está estudiando en la biblioteca ahora.
He is such a good English speaker.	Él es bueno en inglés.
He is the best player on our team.	Él es el mejor jugador de nuestro equipo.
He is the son of a wealthy family.	Él es el hijo de una familia rica.
He is too young to go there alone.	Él es muy joven para ir allá solo.
He is unsatisfied with the result.	Él está insatisfecho con el resultado.
He is very good at playing violin.	A él se le da muy bien tocar el violín.
He is very good at playing violin.	Es muy bueno tocando el violín.
He is very sensitive to criticism.	Es muy susceptible a la crítica.
He is well spoken of by everybody.	Todo el mundo habla bien de él.
He is well spoken of by everybody.	Él tiene buena fama con todos.
He's a little taller than you are.	Él es un poco más alto que tú.
He's a man of very good character.	Es un hombre de muy buen carácter.
He's always bad-mouthing his wife.	Él siempre habla mal de su esposa.
He's always the first to complain.	Siempre es el primero en quejarse.
He's an expert at throwing knives.	Él es un experto arrojando cuchillos.
He's bound to notice your mistake.	Él está abocado a resaltar tus errores.
He's busy and can't meet with you.	Está ocupado y no puede reunirse contigo.
He's had many unhappy experiences.	Él ha tenido muchas experiencias desdichadas.
He's intelligent and good-looking.	Es guapo e inteligente.
He's not sure he wants to do this.	Él no está seguro de querer hacerlo.
He's often mistaken for a student.	A él lo confunden con un estudiante a menudo.
He's sure that he'll win the game.	Él está seguro de que ganará el juego.
He's the tallest one in the class.	Él es el más alto de la clase.
He's two years older than Mary is.	Él es dos años mayor que María.
He's two years older than Mary is.	Es dos años mayor que Mary.
He's wearing a white cotton shirt.	Lleva una camisa blanca de algodón.
I am afraid it will rain tomorrow.	Tengo miedo de que llueva mañana.
I am allowed to swim in the river.	Me dejan nadar en el río.
I am ashamed of my son's laziness.	Estoy avergonzado de la flojera de mi hijo.
I am complaining to the principal.	Me estoy quejando con el director.
I am fed up with his vulgar jokes.	Estoy harta de sus bromas chabacanas.
I am glad that you have helped me.	Me alegro de que me hayas ayudado.
I am glad that you have succeeded.	Estoy feliz de que ganaste.
I am glad that you have succeeded.	Estoy feliz de que ganaron.
I am glad to hear of your success.	Me alegra oír de tu éxito.
I am going to a concert next week.	La semana que viene voy a un concierto.
I am looking forward to Christmas.	Estoy deseando que llegue la Navidad.
I am not about to pay ten dollars.	Yo no pienso pagar diez dólares.
I am not going anywhere on Sunday.	El domingo no voy a ir a ningún lado.
I am reading a book about animals.	Estoy leyendo un libro sobre animales.
I am ready to do anything for you.	Estoy preparado para hacer cualquier cosa por ti.
I am ready to do anything for you.	Estoy preparada para hacer cualquier cosa por ti.
I am ready to give up my position.	Estoy listo para entregar mi postura.
I am responsible for this failure.	Soy responsable por este fracaso.
I am studying Chinese and Spanish.	Estoy estudiando chino y español.
I am sure I saw her two years ago.	Estoy seguro de haberla visto hace dos años.
I am sure we have a lot in common.	Estoy seguro de que tenemos mucho en común.
I am too tired to keep on walking.	Estoy demasiado cansado para seguir caminando.
I'm Irish but I don't speak Irish.	Soy irlandés pero no hablo irlandés.
I'm an old friend of Tom's father.	Soy un viejo amigo del padre de Tom.
I'm beginning to lose my patience.	Comienzo a perder mi paciencia.
I'm busy looking for an apartment.	Estoy ocupado buscando piso.
I'm glad you asked me to join you.	Me alegro de que me pidieras que te acompañara.
I'm glad you asked me to join you.	Me alegro de que me pidieras unirme a ti.
I'm going to Izu over the weekend.	Tengo intención de ir a Izu durante el fin de semana.
I'm going to Tom's house to study.	Voy a la casa de Tom a estudiar.
I'm going to buy a box of matches.	Voy a comprar una caja de cerillas.
I'm going to get something to eat.	Voy a buscar algo de comer.
I'm going to give it one more try.	Le daré otro intento.
I'm going to have to pass on that.	Voy a tener que pasar de eso.
I'm going to need some volunteers.	Voy a necesitar algunos voluntarios.
I'm going to report you to police.	Te reportaré a la Policía.
I'm going to rest before I go out.	Voy a descansar antes de salir.
I'm going to take the 10:30 train.	Voy a tomar el tren de las diez treinta.
I'm hoping you can do that for me.	Espero que puedas hacer eso por mí.
I'm hoping you can do that for me.	Confío en que pueda usted hacer eso por mí.
I'm in absolutely total agreement.	Estoy completa y totalmente de acuerdo.
I'm interested in studying French.	Estoy interesado en estudiar francés.
I'm just a boy who makes mistakes.	Sólo soy un niño que comete errores.
I'm just a boy who makes mistakes.	Solo soy un niño que comete errores.
I'm just telling you what I heard.	Solo te digo lo que oí.
I'm learning to play the clarinet.	Estoy aprendiendo a tocar el clarinete.
I'm leaving for Chicago next week.	La semana próxima voy a Chicago.
I'm leaving tonight for Australia.	Esta noche parto a Australia.
I'm looking for a bag for my wife.	Estoy buscando un bolso para mi esposa.
I'm looking forward to seeing Tom.	Estoy ansioso por ver a Tom.
I'm looking forward to seeing him.	Estoy ansioso por verlo.
I'm looking forward to seeing you.	Tengo mucha ilusión por verte.
I'm looking forward to seeing you.	Tengo muchas ganas de veros.
I'm looking forward to your reply.	Espero con ganas su respuesta.
I'm looking forward to your reply.	Quedo a la espera de su respuesta.
I'm looking forward to your visit.	Espero con ganas su visita.
I'm lucky to have sincere friends.	Soy afortunado de tener amigos sinceros.
I'm never going to give up trying.	Nunca voy a dejar de intentarlo.
I'm not able to do that by myself.	No soy capaz de hacerlo solo.
I'm not able to do that by myself.	No soy capaz de hacerlo por mí mismo.
I'm not able to do that on my own.	No soy capaz de hacer eso yo solo.
I'm not always at home on Sundays.	No siempre estoy en la casa los domingos.
I'm not going to see anybody else.	No voy a ver a nadie más.
I'm not going to tell you my name.	No te voy a decir mi nombre.
I'm not rich, nor do I wish to be.	No soy rico, ni deseo serlo.
I'm not sure I want to touch that.	No estoy segura de si quiero tocar eso.
I'm not sure when he'll come back.	No estoy seguro de cuándo volverá.
I'm not sure when he'll come back.	No estoy segura de cuándo volverá.
I'm not the only one who did that.	No soy el único que hizo eso.
I'm not the only one who did that.	No soy la única persona que hizo eso.
I'm not the only one with a child.	No soy el único con un niño.
I'm not used to talking in public.	No estoy acostumbrada a hablar en público.
I'm not used to this kind of cold.	No estoy acostumbrado a un frío así.
I'm not used to this kind of food.	No estoy acostumbrada a este tipo de comida.
I'm not used to this kind of heat.	No estoy acostumbrado a un calor así.
I'm now able to do that by myself.	Ahora estoy en situación de hacerlo solo.
I'm now able to do that by myself.	Ahora puedo hacerlo por mí mismo.
I'm often compared to my brothers.	A menudo me comparan con mis hermanos.
I'm only telling you what I heard.	Solo te digo lo que oí.
I'm proud to have him as a friend.	Estoy orgulloso de tenerle como amigo.
I'm really enjoying the challenge.	Estoy disfrutando mucho el reto.
I'm really not too happy about it.	En realidad no me alegra mucho.
I'm really worried about my child.	Estoy muy preocupado por mi hijo.
I'm really worried about my child.	Estoy muy preocupada por mi hijo.
I'm sitting on a very small chair.	Estoy sentado en una silla muy pequeña.
I'm so hungry I could eat a horse.	Tengo tanta hambre que me podría comer un caballo.
I'm sorry I can't be of more help.	Lamento no poder ayudar más.
I'm sorry I made you wait so long.	Lamento haberte hecho esperar tanto tiempo.
I'm sorry for breaking my promise.	Lo siento por romper mi promesa.
I'm sorry, but I'm busy right now.	Lo siento pero en este momento estoy ocupado.
I'm sorry, but where are the eggs?	Disculpe, ¿dónde están los huevos?
I'm still trying to a hold of Tom.	Sigo intentando localizar a Tom.
I'm still your commanding officer.	Todavía soy tu oficial al mando.
I'm studying economics in college.	Estudio económicas en la universidad.
I'm sure Tom will be able to help.	Estoy seguro de que Tom podrá ayudar.
I'm sure that I'll miss her a lot.	Estoy seguro de que la voy a extrañar mucho.
I'm sure you're doing all you can.	Estoy seguro de que estás haciendo todo lo que puedes.
I'm taking care of my grandfather.	Estoy cuidando a mi abuelo.
I'm taking tomorrow afternoon off.	Mañana me tomaré la tarde libre.
I'm the black sheep of the family.	Soy la oveja negra de la familia.
I'm the one that needs to do that.	Yo soy el que necesita hacer eso.
I'm the one that needs to do that.	Soy yo quien necesita hacer eso.
I'm the person who has to do that.	Yo soy quien tiene que hacer eso.
I'm the person who has to do that.	Soy la persona que tiene que hacer eso.
I'm thinking about something else.	Pienso en otra cosa.
I'm tired of this monotonous life.	Estoy cansado de esta monótona vida.
I'm too tired to go out for a run.	Estoy demasiado cansado como para salir a correr.
I'm warning you for the last time.	Es la última vez que te aviso.
She is a clerk in the supermarket.	Ella es una empleada en el supermercado.
She is absent because of sickness.	Ella está ausente por motivos de salud.
She is as beautiful as Snow White.	Ella es bella como Blancanieves.
She is as beautiful as Snow White.	Ella es tan guapa como Blancanieves.
She is ashamed of her old clothes.	Ella está avergonzada de su ropa vieja.
She is being quiet for the moment.	Ella se está portando bien por ahora.
She is buying a toy for her child.	Ella está comprando un juguete para su niño.
She is constantly writing letters.	Ella está constantemente escribiendo cartas.
She is estranged from her parents.	Ella está separada de sus padres.
She is not in the least surprised.	Ella no está nada sorprendida.
She is now in a low frame of mind.	Ella está ahora con la moral baja.
She is related to him by marriage.	Ella está relacionada con él mediante matrimonio.
She is traveling around the world.	Ella está viajando alrededor del mundo.
She is unable to cope with stress.	Ella no puede manejar el estrés.
She is used to speaking in public.	Ella está acostumbrada a hablar en público.
She is very fond of writing poems.	A ella le encanta escribir poemas.
She is very proud of her daughter.	Está muy orgullosa de su hija.
She's a woman of strong character.	Ella es una mujer de fuerte carácter.
She's a wonderful wife and mother.	Es una esposa y madre maravillosa.
She's already forgotten about you.	Ella ya se olvidó de ti.
She's concerned about your safety.	Está preocupada por tu seguridad.
She's three years older than I am.	Ella tiene tres años más que yo.
They are fairy tales for children.	Son cuentos de hadas para niños.
They are preparing for their trip.	Se están preparando para su viaje.
They are reading their newspapers.	Están leyendo el periódico.
They are willing to do it for you.	Ellos están dispuestos a hacerlo por ti.
They are willing to learn English.	Ellos están dispuestos a aprender inglés.
They're attempting to contact her.	Están intentando contactarla.
They're the ones that beat Tom up.	Ellos son los que dieron una paliza a Tom.
We are against working on Sundays.	Estamos en contra de trabajar los domingos.
We are leaving Narita next Monday.	Partiremos de Narita el próximo lunes.
We are supposed to know the rules.	Se supone que sabemos las reglas.
We are thankful for your kindness.	Te agradecemos tu amabilidad.
We are thankful for your kindness.	Os agradecemos vuestra amabilidad.
We're going to be late for school.	Vamos a llegar tarde a la escuela.
We're going to the movies tonight.	Esta noche vamos al cine.
We're not the only Canadians here.	No somos los únicos canadienses aquí.
We're very grateful for your help.	Estamos muy agradecidos por tu ayuda.
We're working on a limited budget.	Estamos trabajando con un presupuesto limitado.
You are from Hokkaido, aren't you?	Eres de Hokkaido, ¿verdad?
You are not able to swim, are you?	No sabes nadar, ¿verdad?
You are too young to travel alone.	Eres demasiado joven para viajar solo.
You're as beautiful as I remember.	Eres tan bonita como yo recuerdo.
You're free of all responsibility.	Usted está libre de toda responsabilidad.
You're free to say what you think.	Eres libre de decir lo que pienses.
You're free to say what you think.	Eres libre de decir lo que piensas.
You're not supposed to be in here.	No se supone que estés aquí.
You're not the only Canadian here.	Tú no eres el único canadiense aquí.
You're the last hope for humanity.	Eres la última esperanza para la humanidad.
You're the last hope for humanity.	Ustedes son la última esperanza para la humanidad.
You're the only one who bought it.	Eres el único que la compró.
